15,16,17a,17e,18,19,20,21,22,s,p,m,sp,sm,pm,spm
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5294,0.5294,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5294,0.5294,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.1765,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.1765,0.1765,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5294,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.1765,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.1765,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.1915,0.2812,0.5000,0.5143,0.4375,0.1765,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.1765,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.3529,0.2979,0.4375,0.5000,0.4857,0.2812,0.1765,0.1765,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.6471,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5294,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,1.0000,1.0000,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.1765,0.5000,0.3000,1.0000,1.0000,0.3000,0.5333,1.0000,0.5333
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.1765,0.1765,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.3529,0.2979,0.4375,0.5000,0.4857,0.4375,0.6471,0.6471,0.5000,0.3000,1.0000,0.3750,0.3000,0.2000,0.3750,0.2000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
